182/350 Mansell McTaggart Portsmouth: 0 best, 0 other
183/350 Henry Adams Portsmouth: 0 best, 38 other
184/350 Jacobs Steel Portsmouth: 0 best, 0 other
185/350 Michael Jones Portsmouth: 2 best, 6 other
186/350 Winkworth Bournemouth: 0 best, 1 other
187/350 Hamptons Bournemouth: 0 best, 39 other
188/350 Savills Bournemouth: 0 best, 0 other
189/350 Knight Frank Bournemouth: 0 best, 0 other
190/350 Strutt & Parker Bournemouth: 0 best, 1 other
191/350 Allen & Harris Poole: 1 best, 2 other
192/350 Mann Poole: 0 best, 44 other
193/350 Bairstow Eves Poole: 0 best, 110 other
194/350 Abbotts Poole: 0 best, 33 other
195/350 Taylors Poole: 0 best, 46 other
196/350 Jacobs Steel Bristol: 0 best, 0 other
197/350 Michael Jones Bristol: 0 best, 0 other
198/350 Robert Luff & Co Bristol: 2 best, 6 other
199/350 Bacon & Company Bristol: 1 best, 3 other
200/350 Sims Williams Bristol: 0 best, 0 other
201/350 Knight Frank Bath: 0 best, 0 other
202/350 Strutt & Parker Bath: 0 best, 1 other
203/350 Fine & Country Bath: 0 best, 0 other
204/350 Chancellors Bath: 0 best, 83 other
205/350 Haart Bath: 0 best, 1 other
206/350 Abbotts Exeter: 0 best, 33 other
207/350 Taylors Exeter: 0 best, 46 other
208/350 Gascoigne-Pees Exeter: 0 best, 19 other
209/350 King & Chasemore Exeter: 0 best, 17 other
210/350 Cubitt & West Exeter: 0 best, 0 other
211/350 Bacon & Company Plymouth: 1 best, 3 other
212/350 Sims Williams Plymouth: 0 best, 0 other
213/350 Oakfield Plymouth: 1 best, 6 other
214/350 Brand Vaughan Plymouth: 0 best, 0 other
215/350 Maslen Estate Agents Plymouth: 0 best, 0 other
216/350 Chancellors Taunton: 0 best, 83 other
217/350 Haart Taunton: 0 best, 1 other
218/350 Spicerhaart Taunton: 0 best, 1 other
219/350 KFH Taunton: 0 best, 99 other
220/350 Foxtons Taunton: 0 best, 0 other
221/350 King & Chasemore Cheltenham: 0 best, 17 other
222/350 Cubitt & West Cheltenham: 0 best, 0 other
223/350 Douglas Allen Cheltenham: 0 best, 0 other
224/350 Wards Cheltenham: 0 best, 0 other
225/350 Your Move Cheltenham: 0 best, 0 other
226/350 Brand Vaughan Gloucester: 0 best, 0 other
227/350 Maslen Estate Agents Gloucester: 0 best, 0 other
228/350 Move Sussex Gloucester: 1 best, 0 other
229/350 Taylor Engley Gloucester: 0 best, 0 other
230/350 Town Property Gloucester: 3 best, 0 other
231/350 KFH Birmingham: 0 best, 99 other
232/350 Foxtons Birmingham: 0 best, 0 other
233/350 Chestertons Birmingham: 1 best, 99 other
234/350 Dexters Birmingham: 0 best, 0 other
235/350 Acorn Birmingham: 0 best, 0 other
236/350 Wards Coventry: 0 best, 0 other
237/350 Your Move Coventry: 0 best, 0 other
238/350 Reeds Rains Coventry: 0 best, 0 other
239/350 Hunters Coventry: 0 best, 0 other
240/350 Belvoir Coventry: 0 best, 0 other
241/350 Taylor Engley Leicester: 0 best, 0 other
242/350 Town Property Leicester: 3 best, 0 other
243/350 Open House Leicester: 0 best, 0 other
244/350 Connells Leicester: 0 best, 47 other
245/350 William H Brown Leicester: 1 best, 2 other
246/350 Dexters Nottingham: 0 best, 0 other
247/350 Acorn Nottingham: 0 best, 0 other
248/350 Andrews Nottingham: 1 best, 0 other
249/350 Romans Nottingham: 4 best, 82 other
250/350 Leaders Nottingham: 4 best, 343 other
251/350 Hunters Derby: 0 best, 0 other
252/350 Belvoir Derby: 0 best, 0 other
253/350 Northwood Derby: 0 best, 0 other
254/350 Martin & Co Derby: 0 best, 0 other
255/350 Winkworth Derby: 0 best, 1 other
256/350 Connells Sheffield: 0 best, 47 other
257/350 William H Brown Sheffield: 1 best, 2 other
258/350 Fox & Sons Sheffield: 1 best, 2 other
259/350 Barnard Marcus Sheffield: 1 best, 2 other
260/350 Allen & Harris Sheffield: 1 best, 2 other
261/350 Romans Leeds: 4 best, 82 other
262/350 Leaders Leeds: 2 best, 345 other
263/350 Mansell McTaggart Leeds: 0 best, 0 other
264/350 Henry Adams Leeds: 0 best, 38 other
265/350 Jacobs Steel Leeds: 0 best, 0 other
266/350 Martin & Co York: 0 best, 0 other
267/350 Winkworth York: 0 best, 1 other
268/350 Hamptons York: 0 best, 39 other
269/350 Savills York: 0 best, 0 other
270/350 Knight Frank York: 0 best, 0 other
271/350 Barnard Marcus Manchester: 1 best, 2 other
272/350 Allen & Harris Manchester: 1 best, 2 other
273/350 Mann Manchester: 0 best, 44 other
274/350 Bairstow Eves Manchester: 0 best, 110 other
275/350 Abbotts Manchester: 0 best, 33 other
276/350 Henry Adams Liverpool: 0 best, 38 other
277/350 Jacobs Steel Liverpool: 0 best, 0 other
278/350 Michael Jones Liverpool: 0 best, 0 other
279/350 Robert Luff & Co Liverpool: 2 best, 6 other
280/350 Bacon & Company Liverpool: 1 best, 3 other
281/350 Savills Chester: 0 best, 0 other
282/350 Knight Frank Chester: 0 best, 0 other
283/350 Strutt & Parker Chester: 0 best, 1 other
284/350 Fine & Country Chester: 0 best, 0 other
285/350 Chancellors Chester: 0 best, 89 other
286/350 Bairstow Eves Preston: 0 best, 110 other
287/350 Abbotts Preston: 0 best, 33 other
288/350 Taylors Preston: 0 best, 46 other
289/350 Gascoigne-Pees Preston: 0 best, 19 other
290/350 King & Chasemore Preston: 0 best, 17 other
291/350 Robert Luff & Co Newcastle upon Tyne: 2 best, 6 other
292/350 Bacon & Company Newcastle upon Tyne: 1 best, 3 other
293/350 Sims Williams Newcastle upon Tyne: 0 best, 0 other
294/350 Oakfield Newcastle upon Tyne: 1 best, 6 other
